Model,In,Out,Batch,Fwd Mean (ms),Fwd Std (ms),Bwd Mean (ms),Bwd Std (ms)
FGG-LNN (cached),16,16,512,0.18350222077634598,0.001572812487086812,0.2802425587177277,0.014311545450800487
FGG-LNN,16,16,512,0.31843839950031705,0.002543151226363778,0.5007813336948553,0.005517076011490236
Chen,16,16,512,0.4278529368816538,0.004565762727527247,1.0574547266960144,0.022395178773272895
Poincare,16,16,512,1.1347221268547907,0.046255209971289166,1.8475937325021494,0.015354101375693745
Euclidean,16,16,512,0.08697191451458221,0.0012015561505003265,0.21052104429058408,0.0034178383536140272
FGG-LNN (cached),64,64,512,0.1866845213200735,0.001950450531236605,0.301913738898609,0.003955282007229769
FGG-LNN,64,64,512,0.36690215346140737,0.006020743709326938,0.6974547673494388,0.006779843194127896
Chen,64,64,512,0.3526261814615943,0.003141155894642708,0.638685914485351,0.005646632536904378
Poincare,64,64,512,1.1523021431856377,0.008376294467337982,1.8601484146523983,0.011889135373931018
Euclidean,64,64,512,0.11307345584712246,0.0016713332875375067,0.19687395592530568,0.003274896909519676
FGG-LNN (cached),256,256,512,0.16982121830401214,0.0033364226995647272,0.26124725889327916,0.006971253074242482
FGG-LNN,256,256,512,0.31940647675877526,0.0018059092721334317,0.611770665893952,0.005611068051764036
Chen,256,256,512,0.42791491001844406,0.003272077214769825,0.6480829079042781,0.009939241057154598
Poincare,256,256,512,1.1524969850267683,0.009732429143296346,1.6929891612794665,0.09581177253862241
Euclidean,256,256,512,0.08118897577126821,0.0010200582119303664,0.16213420428791825,0.01076236248902531
FGG-LNN (cached),1024,1024,512,0.18099636178125034,0.0009588249102232962,0.46742007987839834,0.0033210215174149394
FGG-LNN,1024,1024,512,0.3317596748167155,0.01675054693497901,0.8089062392711639,0.11987313517292117
Chen,1024,1024,512,0.4159641599655151,0.033362800496321864,1.0071820855140685,0.1859699783524227
Poincare,1024,1024,512,1.0733010890808972,0.08163372734904412,2.1107560048500695,0.013823616778517197
Euclidean,1024,1024,512,0.14916992157697678,0.002261004864699735,0.37793429734859063,0.0036007116933237447
FGG-LNN (cached),4096,4096,512,1.6826351181320522,0.012373682048265172,4.234898354144806,0.029010990493515767
FGG-LNN,4096,4096,512,2.295120978841976,0.015440346195184453,6.252298452416245,0.03596374700806896
Chen,4096,4096,512,2.082767347494761,0.014604670770626856,4.874561975399653,0.025698654114774126
Poincare,4096,4096,512,3.140421202016431,0.02940145595387419,11.368475407970195,0.04738618658025543
Euclidean,4096,4096,512,1.5528646758262148,0.011513470659561655,3.936972273156998,0.013558601919033323
